
CCTV,#genre#
NewTV精品大剧,http://223.110.251.152:6610/cntv/live1/jdaju/jdaju
NewTV中国功夫,http://223.110.251.152:6610/cntv/live1/SD-1500k-576P-gzkongfu/SD-1500k-576P-gzkongfu
NewTV金牌综艺,http://223.110.251.152:6610/cntv/live1/saishijx/saishijx
NewTV军事评论,http://223.110.251.152:6610/cntv/live1/junshipl/junshipl
NewTV农业致富,http://223.110.251.152:6610/cntv/live1/nongyezf/nongyezf
NewTV精品纪录,http://223.110.251.152:6610/cntv/live1/jingpinjl/jingpinjl
NewTV怡伴健康,http://223.110.251.152:6610/cntv/live1/ljiankangyouyue/ljiankangyouyue
NewTV精品体育,http://223.110.251.152:6610/cntv/live1/jtiyu/jtiyu
NewTV潮妈辣婆,http://223.110.251.152:6610/cntv/live1/HD-1500k-720P-cmlapo/HD-1500k-720P-cmlapo

黑莓动画,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225914/1.m3u8
黑莓电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225927/1.m3u8
黑莓电竞,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225931/1.m3u8
黑莓电竞,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226250/1.m3u8
黑莓电竞,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226262/1.m3u8
NewTV中国功夫,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226321/1.m3u8
NewTV怡伴健康,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226327/1.m3u8
NewTV军事评论,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226326/1.m3u8
